iter	RMSE
0	0.744505826
1	0.7334200274
2	0.7228595211
3	0.7127135999
4	0.7029900415
5	0.693708208
6	0.6848322056
7	0.6764239841
8	0.6683082024
9	0.6605966793
10	0.6532120759
11	0.6461509764
12	0.6395498656
13	0.6332030655
14	0.6271606253
15	0.6213927352
16	0.6158916001
17	0.6106535261
18	0.60564551
19	0.6009027332
20	0.5963844242
21	0.5920822394
22	0.5879972638
23	0.5841395127
24	0.5804552491
25	0.5769633558
26	0.5736502806
27	0.5705217582
28	0.5675381457
29	0.5647092698
30	0.5620144115
31	0.5594696718
32	0.5570654428
33	0.5547588449
34	0.5526021724
35	0.5505685589
36	0.5486216385
37	0.5468319285
38	0.5450817489
39	0.5434242594
40	0.5418344707
41	0.5403441843
42	0.5389347629
43	0.5376069223
44	0.5363420521
45	0.5351257822
46	0.5339631834
47	0.5328890385
48	0.5318591167
49	0.5308822929
50	0.5299686832
51	0.5291050669
52	0.5282671376
53	0.5274802211
54	0.5267396788
55	0.5260359196
56	0.5253661787
57	0.52473218
58	0.524130737
59	0.5235469711
60	0.5230158207
61	0.5225114685
62	0.5220230669
63	0.5215681678
64	0.5211273099
65	0.5207077693
66	0.5203235172
67	0.519950562
68	0.51959707
69	0.5192548351
70	0.5189348933
71	0.5186323178
72	0.5183486952
73	0.5180733758
74	0.5178147315
75	0.5175775117
76	0.5173437893
77	0.5171207516
78	0.5169095638
79	0.5167125791
80	0.5165150364
81	0.5163259129
82	0.516147125
83	0.5159672471
84	0.5158067533
85	0.5156568866
86	0.5155069259
87	0.5153619446
88	0.515229548
89	0.5151035234
90	0.5149760499
91	0.5148590163
92	0.5147439609
93	0.5146314013
94	0.5145282878
95	0.5144308332
96	0.51433615
97	0.5142457819
98	0.514160139
99	0.5140783927
100	0.5140027799
101	0.5139209889
102	0.5138542548
103	0.5137800907
104	0.5137167413
105	0.5136483503
106	0.5135854115
107	0.5135237582
108	0.5134603258
109	0.5134062207
110	0.5133524246
111	0.513302395
112	0.5132529235
113	0.5132098342
114	0.5131588754
115	0.5131191223
116	0.5130731837
117	0.5130291915
118	0.5129862097
119	0.5129492058
120	0.5129105413
121	0.5128717991
122	0.5128347475
123	0.5127990006
124	0.5127645134
125	0.5127313165
126	0.5126958564
127	0.5126644031
128	0.5126332546
129	0.5126013318
130	0.5125682287
131	0.512541637
132	0.5125098273
133	0.5124849329
134	0.5124589369
135	0.5124306537
136	0.5124025894
137	0.5123783347
138	0.5123546861
139	0.5123296777
140	0.512308769
141	0.5122859948
142	0.5122660312
143	0.5122475329
144	0.5122224691
145	0.5122018828
146	0.5121780285
147	0.5121583299
148	0.5121419729
149	0.512122068
150	0.512104242
151	0.5120871764
152	0.5120714492
153	0.5120555698
154	0.5120393862
155	0.5120242625
156	0.5120078604
157	0.5119902815
158	0.5119747139
159	0.5119581311
160	0.5119453858
161	0.5119269839
162	0.5119118644
163	0.5118955719
164	0.5118778015
165	0.51186613
166	0.5118504605
167	0.5118364798
168	0.5118173039
169	0.511795303
170	0.5117830013
171	0.5117702145
172	0.5117582926
173	0.5117448633
174	0.5117328622
175	0.5117177323
176	0.5117066545
177	0.5116960154
178	0.5116809597
179	0.5116669775
180	0.5116572706
181	0.5116442862
182	0.5116327894
183	0.5116194031
184	0.5116083755
185	0.5115962091
186	0.5115823808
187	0.5115727254
188	0.5115612489
189	0.5115484099
190	0.5115338827
191	0.5115232485
192	0.5115124226
193	0.5115030997
194	0.5114950207
195	0.5114851382
196	0.511472462
197	0.5114609316
198	0.5114492289
199	0.5114369364
200	0.5114212283
201	0.5114107876
202	0.5114009026
203	0.5113923323
204	0.5113827018
205	0.511374265
206	0.5113632217
207	0.5113533488
208	0.5113432069
209	0.5113365443
210	0.5113279183
211	0.5113198575
212	0.5113080867
213	0.5112927585
214	0.5112839165
215	0.5112751959
216	0.5112584643
217	0.5112497381
218	0.5112395578
219	0.5112294897
220	0.5112179774
221	0.5112098311
222	0.5112003562
223	0.5111918808
224	0.5111872399
225	0.5111802789
226	0.5111655571
227	0.5111587013
228	0.5111480044
229	0.5111402988
230	0.5111329688
231	0.5111214439
232	0.5111065577
233	0.5110972515
234	0.5110905485
235	0.511082209
236	0.511073893
237	0.5110666902
238	0.5110558034
239	0.5110495116
240	0.5110412871
241	0.5110334069
242	0.5110245258
243	0.5110188835
244	0.5110128928
245	0.5110027458
246	0.5109936823
247	0.5109861995
248	0.5109787113
249	0.510967935
250	0.5109617405
251	0.5109538667
252	0.5109460626
253	0.5109392838
254	0.5109281315
255	0.5109201681
256	0.5109085372
257	0.5109010894
258	0.5108925363
259	0.5108811483
260	0.51087374
261	0.5108628211
262	0.5108554163
263	0.510849858
264	0.5108410763
265	0.5108339774
266	0.5108287985
267	0.5108222009
268	0.5108144596
269	0.5108086868
270	0.5108010624
271	0.5107911175
272	0.5107854038
273	0.5107785905
274	0.5107688727
275	0.5107633668
276	0.5107544038
277	0.5107478672
278	0.5107433896
279	0.5107368371
280	0.5107318584
281	0.5107262485
282	0.5107143054
283	0.5107064807
284	0.5106994832
285	0.510690198
286	0.510682853
287	0.5106750514
288	0.5106679956
289	0.5106586712
290	0.510653147
291	0.5106495422
292	0.5106436518
293	0.5106383607
294	0.5106330858
295	0.5106244564
296	0.5106205701
297	0.5106133521
298	0.5106086363
299	0.5106035514
300	0.5105978411
301	0.5105928377
302	0.5105862212
303	0.5105790841
304	0.5105715451
305	0.510565987
306	0.5105607603
307	0.5105538356
308	0.5105434109
309	0.5105374799
310	0.510530365
311	0.5105246758
312	0.5105181272
313	0.5105123115
314	0.5105056166
315	0.510501938
316	0.5104987914
317	0.510491311
318	0.5104837401
319	0.5104757201
320	0.5104715116
321	0.5104655197
322	0.5104607118
323	0.5104549779
324	0.5104489999
325	0.5104417964
326	0.5104341798
327	0.5104281498
328	0.5104194398
329	0.5104150013
330	0.5104088422
331	0.5104009727
332	0.5103938409
333	0.5103891966
334	0.5103848208
335	0.5103782728
336	0.5103733297
337	0.5103686625
338	0.5103645877
339	0.5103560507
340	0.510350022
341	0.5103459265
342	0.5103409383
343	0.5103291129
344	0.510324112
345	0.5103181657
346	0.5103111297
347	0.5103050461
348	0.5102995226
349	0.5102941172
350	0.510288192
351	0.5102828001
352	0.5102784582
353	0.5102721838
354	0.5102615465
355	0.5102553219
356	0.5102517135
357	0.5102477888
358	0.5102425756
359	0.5102392744
360	0.5102316382
361	0.5102224548
362	0.5102160935
363	0.5102109046
364	0.5102017666
365	0.5101978124
366	0.5101935671
367	0.5101886932
368	0.5101836242
369	0.5101759818
370	0.5101688123
371	0.5101636998
372	0.5101581544
373	0.5101506205
374	0.5101459869
375	0.510140316
376	0.5101356392
377	0.5101300568
378	0.5101259272
379	0.5101183529
380	0.5101118741
381	0.5101067923
382	0.5101025166
383	0.5100938572
384	0.5100871442
385	0.5100772882
386	0.5100734951
387	0.51006772
388	0.5100647285
389	0.5100592878
390	0.5100548451
391	0.5100493
392	0.5100417575
393	0.5100383351
394	0.5100330024
395	0.5100297203
396	0.5100200523
397	0.5100164955
398	0.5100148504
399	0.5100084005
400	0.5100015386
401	0.5099965057
402	0.5099912666
403	0.5099849408
404	0.5099812588
405	0.5099774029
406	0.5099703794
407	0.5099667329
408	0.509959645
409	0.5099509431
410	0.5099477601
411	0.5099442273
412	0.5099380081
413	0.5099347269
414	0.5099293271
415	0.5099238127
416	0.5099182146
417	0.5099092312
418	0.5099045225
419	0.509899892
