iter	Passed	Remaining
0	97	195315
1	123	123542
2	148	99171
3	173	86509
4	196	78364
5	219	73100
6	241	68888
7	265	66125
8	289	63981
9	310	61887
10	333	60366
11	356	59089
12	381	58273
13	404	57418
14	434	57461
15	461	57278
16	491	57307
17	517	56957
18	541	56428
19	565	56022
20	590	55622
21	612	55087
22	636	54743
23	664	54709
24	695	54963
25	721	54808
26	745	54445
27	768	54099
28	795	54055
29	818	53720
30	841	53426
31	865	53214
32	889	53010
33	911	52725
34	938	52678
35	962	52509
36	992	52653
37	1018	52574
38	1046	52640
39	1072	52571
40	1097	52455
41	1125	52462
42	1151	52427
43	1176	52313
44	1201	52191
45	1225	52049
46	1249	51929
47	1277	51964
48	1303	51881
49	1326	51741
50	1351	51643
51	1375	51510
52	1399	51406
53	1422	51255
54	1446	51148
55	1469	51018
56	1493	50924
57	1517	50822
58	1541	50720
59	1567	50666
60	1590	50550
61	1614	50451
62	1637	50332
63	1660	50231
64	1683	50123
65	1707	50038
66	1730	49916
67	1753	49818
68	1776	49703
69	1799	49612
70	1823	49539
71	1846	49456
72	1870	49366
73	1893	49276
74	1915	49176
75	1937	49047
76	1963	49035
77	1989	49013
78	2012	48934
79	2034	48829
80	2057	48737
81	2080	48652
82	2106	48641
83	2127	48538
84	2150	48441
85	2173	48377
86	2196	48305
87	2221	48259
88	2250	48328
89	2362	50139
90	2565	53820
91	2615	54240
92	2641	54163
93	2666	54070
94	2690	53958
95	2717	53893
96	2740	53769
97	2765	53675
98	2791	53604
99	2815	53486
100	2840	53401
101	2864	53298
102	2890	53234
103	2918	53212
104	2948	53214
105	2973	53129
106	3001	53098
107	3026	53015
108	3049	52909
109	3074	52828
110	3096	52699
111	3121	52617
112	3149	52598
113	3173	52503
114	3196	52393
115	3219	52284
116	3242	52177
117	3263	52056
118	3286	51949
119	3313	51919
120	3336	51816
121	3359	51721
122	3387	51695
123	3484	52713
124	3509	52635
125	3533	52551
126	3558	52485
127	3580	52370
128	3607	52327
129	3631	52241
130	3661	52243
131	3687	52185
132	3711	52098
133	3734	52005
134	3758	51923
135	3783	51860
136	3807	51779
137	3831	51696
138	3855	51622
139	3878	51527
140	3901	51435
141	3927	51383
142	3952	51321
143	3974	51227
144	3997	51134
145	4021	51061
146	4046	51008
147	4067	50903
148	4091	50828
149	4114	50747
150	4141	50712
151	4166	50653
152	4189	50579
153	4213	50501
154	4237	50434
155	4258	50343
156	4282	50275
157	4306	50202
158	4329	50126
159	4351	50045
160	4377	50005
161	4402	49945
162	4426	49890
163	4450	49820
164	4474	49760
165	4497	49685
166	4519	49607
167	4546	49574
168	4570	49522
169	4592	49441
170	4616	49378
171	4640	49314
172	4664	49262
173	4690	49224
174	4714	49165
175	4738	49104
176	4763	49057
177	4785	48987
178	4808	48915
179	4832	48863
180	4856	48806
181	4879	48737
182	4902	48678
183	4925	48609
184	4949	48555
185	4972	48494
186	4995	48432
187	5020	48387
188	5042	48315
189	5067	48274
190	5093	48246
191	5120	48216
192	5144	48169
193	5169	48122
194	5192	48061
195	5218	48031
196	5242	47982
197	5264	47915
198	5288	47860
199	5310	47795
200	5334	47747
201	5361	47720
202	5387	47688
203	5411	47646
204	5435	47591
205	5457	47523
206	5479	47462
207	5501	47399
208	5524	47342
209	5548	47290
210	5570	47230
211	5593	47176
212	5617	47132
213	5642	47089
214	5664	47025
215	5685	46955
216	5709	46908
217	5733	46870
218	5760	46842
219	5783	46795
220	5806	46739
221	5828	46676
222	5851	46632
223	5874	46579
224	5898	46533
225	5922	46490
226	5954	46505
227	5979	46472
228	6002	46422
229	6027	46382
230	6051	46339
231	6072	46280
232	6096	46237
233	6120	46191
234	6147	46173
235	6177	46175
236	6205	46160
237	6235	46163
238	6263	46149
239	6287	46110
240	6312	46073
241	6333	46011
242	6357	45969
243	6381	45929
244	6404	45877
245	6426	45818
246	6449	45773
247	6472	45726
248	6496	45686
249	6519	45637
250	6543	45592
251	6565	45544
252	6591	45515
253	6615	45476
254	6639	45434
255	6664	45403
256	6687	45356
257	6711	45314
258	6734	45267
259	6758	45226
260	6780	45180
261	6803	45133
262	6828	45100
263	6851	45055
264	6876	45018
265	6902	44993
266	6925	44953
267	6948	44908
268	6975	44883
